,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
coma_schema_instance,0.9510869565217391,0.9043927648578811,0.9271523178807947,1.0,1.0,1.0,1.0,0.9939759036144579,0.9043927648578811
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000-cosine,0.7972972972972973,0.9147286821705426,0.8519855595667869,0.6636197440585009,0.2340036563071298,0.14149908592321755,0.1010707756594411,0.07861060329067641,0.8733850129198967
starmie-model_sample_row_ordered_frequent_column_0-ft-cosine,0.5135746606334841,0.58656330749354,0.5476477683956574,0.48535564853556484,0.2135380321004885,0.14195979899497488,0.10619204307508226,0.08585388552815262,0.5503875968992248
starmie-model_sample_row_ordered_tfidf_entity_column_0,0.5968468468468469,0.6847545219638242,0.6377858002406739,0.5734989648033126,0.24033149171270718,0.15292167426440115,0.11071640023682652,0.08749712180520378,0.6640826873385013
valentwin-restaurants-n-500-hn-10-selective-neg-lr-3e5-bs-512-20240421-euc-cnw-04-euc,0.7297297297297297,0.8372093023255814,0.779783393501805,0.6124314442413162,0.21876904326630103,0.13382084095063984,0.0966309741446853,0.07657932155189925,0.8372093023255814
