,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
coma_schema_instance,0.968013468013468,0.9214743589743589,0.9441707717569785,1.0,1.0,0.9932885906040269,0.9928057553956835,0.9832089552238806,0.9214743589743589
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000-cosine,0.9100294985250738,0.9887820512820513,0.9477726574500769,0.6375143843498274,0.238204833141542,0.143646408839779,0.10259782966129563,0.07979539641943734,0.8237179487179487
starmie-model_sample_row_ordered_frequent_column_0-ft-cosine,0.7699115044247787,0.8365384615384616,0.8018433179723502,0.6002317497103129,0.23038268264398917,0.1426252319109462,0.1028656617525261,0.0801443113000902,0.8125
starmie-model_sample_row_ordered_tfidf_entity_column_0-cosine,0.7684365781710915,0.8349358974358975,0.8003072196620583,0.6144859813084113,0.24026479750778817,0.14579439252336449,0.1041388518024032,0.08099688473520249,0.8189102564102564
valentwin-cihr-n-200-hn-10-selective-neg-lr-3e5-bs-512-20240421-euc-cnw-04-euc,0.9203539823008849,1.0,0.9585253456221198,0.7180667433831991,0.23935558112773303,0.143646408839779,0.10259782966129563,0.07979539641943734,0.967948717948718
