,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
coma_schema_instance,0.8947368421052632,0.7727272727272727,0.8292682926829269,1.0,0.8620689655172413,0.8333333333333334,0.8805970149253731,0.8837209302325582,0.7727272727272727
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000-cosine,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.8068181818181818,0.3977272727272727,0.23863636363636365,0.1737012987012987,0.1388888888888889,0.7636363636363637
starmie-model_sample_row_ordered_frequent_column_0-ft-cosine,1.0,1.0,1.0,1.0,0.4198473282442748,0.25229357798165136,0.18032786885245902,0.14030612244897958,0.8909090909090909
starmie-model_sample_row_ordered_tfidf_entity_column_0-cosine,1.0,1.0,1.0,1.0,0.43824701195219123,0.2637889688249401,0.18835616438356165,0.14647137150466044,0.9363636363636364
valentwin-DCMS_NHM_NHM-n-200-hn-10-selective-neg-lr-3e5-bs-512-20240421-euc-cnw-04-euc,0.9636363636363636,0.9636363636363636,0.9636363636363636,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9636363636363636
